trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation; -7.77420489319777e-05; -0.0019402978791188; -259.056307759357; 0.998655785675919; 938.933978; 3568.554368; 101; 2; 2474, 4399; 938.933978, 1903.089273
ABC.transporters; -0.000747121068629345; -1.51829075783633e-05; -38.1228841412317; 0.998420743036555; 938.933978; 3452.03869; 31; 2; 2474, 4399; 938.933978, 1903.089273
Adipocytokine.signaling.pathway; -0.000508048381537284; -0.000196790907291485; -413.211742113948; 0.999295296208385; 938.933978; 3778.890929; 82; 6; 2474, 4401, 4454, 4470, 4474, 4485; 938.933978, 2430.955609, 3036.818164, 3704.885539, 3496.135742, 3493.166264
African.trypanosomiasis; -0.000120283332874775; -0.000853992674215959; -394.822376146779; 0.998224295698635; 938.933978; 3665.05615; 49; 2; 2474, 4399; 938.933978, 1903.089273
Alanine..aspartate.and.glutamate.metabolism; -0.00173730248668867; -1.51026716556224e-05; -42.5940611459659; 0.998997152651321; 1809.157363; 3715.734962; 134; 6; 2476, 4390, 4395, 4396, 4398, 4399; 1809.157363, 3611.519581, 4054.355326, 3766.730888, 3845.416488, 1903.089273
Aldosterone.regulated.sodium.reabsorption; -3.27172041351991e-05; -0.00171415556668843; -68.716907869457; 0.999030295151162; 2003.901286; 3527.67626; 81; 5; 2478, 4389, 4401, 4441, 4468; 2003.901286, 2702.50514, 2430.955609, 3443.105539, 2536.349634
Alzheimer.s.disease; -5.40541425607978e-05; -2.39926052206385e-05; -76.3364654990447; 0.999120397729246; 938.933978; 3390.128066; 5; 2; 2474, 4401; 938.933978, 2430.955609
Amino.acid.metabolism; -0.00117244455960224; -4.73463659741146e-05; -151.935800454671; 0.998845073686478; 938.933978; 3674.7854865; 96; 2; 2474, 4399; 938.933978, 1903.089273
Amino.acid.related.enzymes; -0.00188497458963995; -3.26633377250384e-06; -7.6495891236655; 0.998969181503398; 938.933978; 3660.63466; 110; 2; 2474, 4399; 938.933978, 1903.089273
Amino.sugar.and.nucleotide.sugar.metabolism; -0.000789681176350757; -1.79859326030556e-05; -43.8854982642886; 0.998491961903712; 938.933978; 3540.5594275; 60; 2; 2474, 4399; 938.933978, 1903.089273
Aminobenzoate.degradation; -0.000667795191019641; -0.000131130463093032; -250.658763488174; 0.998832121591431; 938.933978; 3665.05615; 71; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Amoebiasis; -0.000584091215475714; -0.00131347592419455; -642.133715637542; 0.998995270592161; 2003.901286; 3727.524005; 141; 8; 2478, 4381, 4388, 4393, 4403, 4423, 4433, 4437; 2003.901286, 3604.850173, 3052.373083, 3254.388044, 3337.348937, 3778.574432, 2777.979482, 2346.177378
Amyotrophic.lateral.sclerosis..ALS.; -0.000411184986706111; -0.000640545856699624; -554.150615583699; 0.999237307709003; 1416.658921; 3669.722187; 105; 4; 2475, 4414, 4433, 4438; 1416.658921, 3687.981499, 2777.979482, 2413.732728
Antigen.processing.and.presentation; -0.00029570514081667; -0.000234987016771724; -391.798937201957; 0.999843549713105; 2003.901286; 3702.207636; 53; 2; 2478, 4433; 2003.901286, 2777.979482
Apoptosis; -0.000105671661304913; -0.000429126266613923; -272.544890420316; 0.999696852059694; 2479.94467; 3679.3459005; 40; 27; 2493, 2513, 2538, 2594, 2596, 2635, 2667, 2891, 2929, 2993, 3253, 3281, 3304, 3316, 3346, 3367, 3387, 3392, 3410, 3418, 3487, 3769, 3779, 4132, 4361, 4366, 4388; 3430.462448, 3488.997157, 3767.396494, 3781.658231, 3873.672445, 3342.175608, 3476.522631, 3389.949435, 3666.874661, 2479.94467, 3024.101613, 4063.646794, 3280.837088, 3486.003792, 2492.126572, 3951.729238, 3684.901852, 3706.288701, 3946.043218, 3724.194039, 3224.887972, 3117.761343, 3163.501091, 2675.019033, 3823.062159, 3648.299236, 3052.373083
Arachidonic.acid.metabolism; -0.000707817348018561; -0.000437656753841439; -596.68115066979; 0.999312131506177; 1416.658921; 3701.937211; 130; 2; 2475, 4399; 1416.658921, 1903.089273
Arginine.and.proline.metabolism; -0.00128482840869779; -8.9202145826315e-06; -31.7230446952096; 0.998848417103656; 938.933978; 3641.869502; 109; 2; 2474, 4399; 938.933978, 1903.089273
Ascorbate.and.aldarate.metabolism; -0.00144145405360517; -0.000227292119626392; -420.745829925006; 0.999126892842581; 1416.658921; 3717.7711; 166; 3; 2475, 4398, 4399; 1416.658921, 3845.416488, 1903.089273
Atrazine.degradation; -0.000475630850927906; -0.000827635032479442; -635.90636994806; 0.999024528123304; 938.933978; 3751.9111145; 120; 2; 2474, 4399; 938.933978, 1903.089273
Bacterial.chemotaxis; -0.00069115196460229; -0.000228911472702136; -419.429352859273; 0.999161958280383; 938.933978; 3872.817538; 95; 3; 2474, 4433, 4439; 938.933978, 2777.979482, 2465.191362
Bacterial.invasion.of.epithelial.cells; -0.000187470678076762; -0.00668413385918381; -328.864935968075; 0.998999999999008; 938.933978; 3666.902096; 191; 3; 2474, 4401, 4437; 938.933978, 2430.955609, 2346.177378
Bacterial.motility.proteins; -0.000638420959945626; -5.30027111157358e-05; -176.582490336664; 0.997978300983405; 1416.658921; 3722.024644; 71; 3; 2475, 4398, 4400; 1416.658921, 3845.416488, 2223.35251
Bacterial.secretion.system; -4.43361224979585e-06; -7.12648824601661e-06; -26.2494457282036; 0.0342953708031167; Inf; NA; 0; 0; ; 
Bacterial.toxins; -0.000703291238061322; -0.000155652724023592; -321.720831544356; 0.999342838266877; 1416.658921; 3767.396494; 77; 7; 2475, 4398, 4418, 4422, 4454, 4473, 4502; 1416.658921, 3845.416488, 4044.076505, 3625.696229, 3036.818164, 2779.358775, 3874.675518
